date,name,isHoliday,holidayCategory,description
12/10/2016,,是,星期六、星期日,
12/11/2016,,是,星期六、星期日,
12/17/2016,,是,星期六、星期日,
12/18/2016,,是,星期六、星期日,
12/24/2016,,是,星期六、星期日,
12/25/2016,,是,星期六、星期日,
12/31/2016,,是,星期六、星期日,
1/1/2017,中華民國開國紀念日,是,放假之紀念日及節日,全國各機關學校放假一日，適逢星期日，於一月二日補假一日。
1/2/2017,,是,補假,
1/7/2017,,是,星期六、星期日,
1/8/2017,,是,星期六、星期日,
1/14/2017,,是,星期六、星期日,
1/15/2017,,是,星期六、星期日,
1/21/2017,,是,星期六、星期日,
1/22/2017,,是,星期六、星期日,
1/27/2017,農曆除夕,是,放假之紀念日及節日,全國各機關學校放假一日。
1/28/2017,春節,是,放假之紀念日及節日,全國各機關學校於一月二十八日至一月三十日放假三日，其中春節初一、初二適逢星期六、日，分別於一月三十一日及二月一日補假一日。
1/29/2017,春節,是,放假之紀念日及節日,全國各機關學校於一月二十八日至一月三十日放假三日，其中春節初一、初二適逢星期六、日，分別於一月三十一日及二月一日補假一日。
1/30/2017,春節,是,放假之紀念日及節日,全國各機關學校於一月二十八日至一月三十日放假三日，其中春節初一、初二適逢星期六、日，分別於一月三十一日及二月一日補假一日。
1/31/2017,,是,補假,
2/1/2017,,是,補假,
2/4/2017,,是,星期六、星期日,
2/5/2017,,是,星期六、星期日,
2/11/2017,,是,星期六、星期日,
2/12/2017,,是,星期六、星期日,
2/18/2017,,否,補行上班日,
2/19/2017,,是,星期六、星期日,
2/25/2017,,是,星期六、星期日,
2/26/2017,,是,星期六、星期日,
2/27/2017,,是,調整放假日,
2/28/2017,和平紀念日,是,放假之紀念日及節日,全國各機關學校放假一日，適逢星期二，調整二月二十七日為放假日，並於二月十八日補行上班一日。
3/4/2017,,是,星期六、星期日,
3/5/2017,,是,星期六、星期日,
3/11/2017,,是,星期六、星期日,
3/12/2017,,是,星期六、星期日,
3/18/2017,,是,星期六、星期日,
3/19/2017,,是,星期六、星期日,
3/25/2017,,是,星期六、星期日,
3/26/2017,,是,星期六、星期日,
4/1/2017,,是,星期六、星期日,
4/2/2017,,是,星期六、星期日,
4/3/2017,,是,放假之紀念日及節日,全國各機關學校放假一日。
4/4/2017,兒童節、民族掃墓節（清明節）,是,放假之紀念日及節日,全國各機關學校放假一日(兒童節與民族掃墓節同一日時，於前一日即四月三日放假)。
4/8/2017,,是,星期六、星期日,
4/9/2017,,是,星期六、星期日,
4/15/2017,,是,星期六、星期日,
4/16/2017,,是,星期六、星期日,
4/22/2017,,是,星期六、星期日,
4/23/2017,,是,星期六、星期日,
4/29/2017,,是,星期六、星期日,
4/30/2017,,是,星期六、星期日,
5/1/2017,勞動節,是,特定節日,勞工放假一日。
5/6/2017,,是,星期六、星期日,
5/7/2017,,是,星期六、星期日,
5/13/2017,,是,星期六、星期日,
5/14/2017,,是,星期六、星期日,
5/20/2017,,是,星期六、星期日,
5/21/2017,,是,星期六、星期日,
5/27/2017,,是,星期六、星期日,
5/28/2017,,是,星期六、星期日,
5/29/2017,,是,調整放假日,
5/30/2017,端午節,是,放假之紀念日及節日,全國各機關學校放假一日，適逢星期二，調整五月二十九日為放假日，並於六月三日補行上班一日。
6/3/2017,,否,補行上班日,
6/4/2017,,是,星期六、星期日,
6/10/2017,,是,星期六、星期日,
6/11/2017,,是,星期六、星期日,
6/17/2017,,是,星期六、星期日,
6/18/2017,,是,星期六、星期日,
6/24/2017,,是,星期六、星期日,
6/25/2017,,是,星期六、星期日,
7/1/2017,,是,星期六、星期日,
7/2/2017,,是,星期六、星期日,
7/8/2017,,是,星期六、星期日,
7/9/2017,,是,星期六、星期日,
7/15/2017,,是,星期六、星期日,
7/16/2017,,是,星期六、星期日,
7/22/2017,,是,星期六、星期日,
7/23/2017,,是,星期六、星期日,
7/29/2017,,是,星期六、星期日,
7/30/2017,,是,星期六、星期日,
8/5/2017,,是,星期六、星期日,
8/6/2017,,是,星期六、星期日,
8/12/2017,,是,星期六、星期日,
8/13/2017,,是,星期六、星期日,
8/19/2017,,是,星期六、星期日,
8/20/2017,,是,星期六、星期日,
8/26/2017,,是,星期六、星期日,
8/27/2017,,是,星期六、星期日,
9/2/2017,,是,星期六、星期日,
9/3/2017,軍人節,是,特定節日,軍人依國防部規定辦理。
9/9/2017,,是,星期六、星期日,
9/10/2017,,是,星期六、星期日,
9/16/2017,,是,星期六、星期日,
9/17/2017,,是,星期六、星期日,
9/23/2017,,是,星期六、星期日,
9/24/2017,,是,星期六、星期日,
9/30/2017,,否,補行上班日,
10/1/2017,,是,星期六、星期日,
10/4/2017,中秋節,是,放假之紀念日及節日,全國各機關學校放假一日。
10/7/2017,,是,星期六、星期日,
10/8/2017,,是,星期六、星期日,
